name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,13.42984807715229,100000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
Mahindra Verito 1.5 D4 BSIII,2011,12.066810578196666,100000,Diesel,Individual,Manual,Second Owner,21.0,1461,64.1,5
Honda WR-V i-DTEC VX,2017,13.764217263576723,50000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5
Maruti Swift Dzire ZDI,2015,13.17115354157376,40000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5
Maruti SX4 ZDI,2012,13.304684934198283,72000,Diesel,Individual,Manual,First Owner,21.5,1248,88.8,5
Tata Tigor 2017-2020 XZ,2018,13.122363377404328,35000,Petrol,Individual,Manual,First Owner,20.3,1199,83.81,5
Maruti Baleno Delta 1.2,2016,13.262125319779487,45000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
Maruti Alto 800 LXI,2017,12.524526376648708,28000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,12.611537753638338,70000,Diesel,Individual,Manual,First Owner,18.2,1248,73.8,7
Maruti Wagon R LXI Minor,2009,12.301382825334498,120000,Petrol,Individual,Manual,First Owner,18.9,1061,67.0,5
Maruti Omni E MPI STD BS IV,2018,12.449014902564246,25000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8
Maruti Vitara Brezza LDi Option,2017,13.415032991367148,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Maruti Omni 8 Seater BSIV,2012,11.918390573078392,35000,Petrol,Individual,Manual,Second Owner,14.0,796,35.0,5
Hyundai i20 1.2 Asta Dual Tone,2018,13.500799813124575,2388,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
Maruti Vitara Brezza LDi,2017,13.38472764187182,16200,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Maruti Alto 800 CNG LXI Optional,2019,12.706847933442663,10000,CNG,Individual,Manual,Second Owner,33.44,796,40.3,4
Maruti Alto K10 VXI Airbag,2019,12.810388612383504,15000,Petrol,Individual,Manual,First Owner,23.95,998,67.1,5
Hyundai Verna VTVT 1.6 SX Option,2019,13.954402556830892,5000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5
Datsun GO D,2016,11.918390573078392,42000,Petrol,Individual,Manual,First Owner,20.63,1198,67.0,5
Tata Safari DICOR 2.2 LX 4x2,2011,12.959844447906553,60000,Diesel,Individual,Manual,Second Owner,13.93,2179,138.03,7
Maruti 800 Std,2012,11.918390573078392,76000,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4
Jeep Compass 1.4 Limited Plus BSIV,2019,14.557447902693651,5000,Petrol,Individual,Automatic,First Owner,16.0,1368,160.77,5
Honda City i VTEC VX,2018,13.737549016494562,28900,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5
Honda City V MT,2013,12.959844447906553,86300,Petrol,Dealer,Manual,First Owner,16.8,1497,116.3,5
Maruti Swift Dzire VXi AT,2018,13.422467969854667,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197,83.14,5
Maruti Vitara Brezza VDi,2018,13.617058399727497,32600,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5
Maruti Alto K10 VXI,2018,12.873902018105829,10300,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5
Toyota Fortuner 4x4 MT,2014,14.22097566607244,77000,Diesel,Dealer,Manual,First Owner,12.55,2982,168.5,7
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,13.458835614025542,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.0,7
Mercedes-Benz B Class B180,2014,14.187074114396758,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143,120.7,5
Honda Amaze S Diesel,2015,12.959844447906553,49800,Diesel,Dealer,Manual,First Owner,24.7,1498,98.63,5
Mitsubishi Pajero Sport 4X4,2013,13.901688254205327,151000,Diesel,Dealer,Manual,First Owner,13.5,2477,175.56,7
Honda City i DTEC S,2015,13.304684934198283,54700,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5
Maruti Ciaz Zeta,2018,13.652991628466498,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5
Honda Jazz VX Diesel,2015,13.17115354157376,63000,Diesel,Dealer,Manual,First Owner,27.3,1498,98.6,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,14.316285845876763,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,13.764217263576723,99000,Diesel,Dealer,Manual,First Owner,12.99,2494,100.6,7
Audi A6 2.0 TDI Technology,2013,14.375126345899696,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968,174.33,5
Toyota Corolla Altis 1.8 VL CVT,2018,14.279244574196415,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5
Audi A6 2.0 TDI  Design Edition,2013,14.340238495183105,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968,187.74,5
Mercedes-Benz New C-Class 220 CDI AT,2013,14.169682371684887,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143,170.0,5
Tata Manza ELAN Quadrajet BS IV,2011,12.487485104968359,120000,Diesel,Individual,Manual,First Owner,21.12,1248,88.8,5
Hyundai i10 Magna,2011,12.154779351142624,110000,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9,5
Hyundai i20 Asta 1.4 CRDi,2013,12.959844447906553,60000,Diesel,Individual,Manual,First Owner,21.27,1396,88.76,5
Maruti Swift Dzire ZDI,2015,13.353475098367715,147000,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0,5
Ford Figo 1.2P Titanium MT,2017,13.304684934198283,25000,Petrol,Individual,Manual,Third Owner,18.16,1196,86.8,5
Maruti Baleno Delta 1.2,2019,13.38472764187182,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,13.199324418540456,40000,Diesel,Individual,Manual,First Owner,22.0,1498,108.495,5
Honda City i DTEC VX,2015,13.353475098367715,135000,Diesel,Individual,Manual,First Owner,25.1,1498,98.6,5
Maruti Wagon R AMT VXI,2018,13.012548511397123,30000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5
Volkswagen Ameo 1.5 TDI Comfortline,2017,13.122363377404328,80000,Diesel,Individual,Manual,First Owner,21.66,1498,108.62,5
Maruti Vitara Brezza VDi,2016,13.521139497361697,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Maruti Vitara Brezza ZDi Plus AMT,2019,13.840203170554645,9850,Diesel,Individual,Automatic,First Owner,24.3,1248,88.5,5
Hyundai i10 Magna,2011,12.367340793126296,60000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5
Maruti Swift VDI Deca,2016,13.353475098367715,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5
Toyota Fortuner 4x4 MT,2015,14.346138809026444,78000,Diesel,Individual,Manual,Second Owner,12.55,2982,168.5,7
Maruti Swift Star VDI,2013,13.017002861746503,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5
Maruti Ertiga ZXI,2012,13.017002861746503,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7
Volkswagen Vento Diesel Highline,2013,13.017002861746503,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,13.997832114758229,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,13.321214236149494,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5
BMW X1 sDrive20i xLine,2016,14.73180128983843,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,5
Maruti Celerio ZXI MT BSIV,2017,13.091902108061824,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5
Datsun GO A Petrol,2016,12.524526376648708,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5
Maruti Alto 800 VXI BSIV,2016,12.66032791780777,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5
Maruti Alto 800 LXI BSIV,2016,12.524526376648708,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5
Hyundai i10 Era 1.1,2012,12.577636201962656,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5
Maruti Omni 8 Seater BSIV,2017,12.542544882151386,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5
Maruti Wagon R LXI LPG BSIV,2010,12.323855681186558,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5
Volkswagen Polo 1.2 MPI Comfortline,2015,13.028052697933088,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5
Hyundai i10 Magna 1.1L,2015,12.768541502448002,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5
Volkswagen Vento Petrol Highline,2012,13.190022025878143,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5
Maruti Zen Estilo LXI BSIII,2009,12.072541252905651,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5
Hyundai i20 Asta Optional with Sunroof 1.2,2013,13.17115354157376,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5
Maruti Swift Dzire LDI,2016,13.304684934198283,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5
Hyundai Xcent 1.2 Kappa SX Option AT,2016,13.244581010128577,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5
Maruti Alto LX BSIII,2008,11.695247021764184,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5
Hyundai i20 1.4 Asta Option,2017,13.493926933836812,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
Maruti Wagon R VXI,2009,12.128111104060462,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5
Tata Manza Aura (ABS) Quadrajet,2010,12.206072645530174,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5
Maruti Swift VXI,2019,13.329377546788654,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
Maruti Eeco 7 Seater Standard BSIV,2016,12.506177237980511,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,7
Maruti Baleno Zeta 1.2,2018,13.321214236149494,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,13.345506928718539,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8
Ford Freestyle Titanium Petrol BSIV,2020,12.89921982609012,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5
Hyundai Verna VTVT 1.6 SX,2017,13.671640187544572,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5
Volkswagen Passat 1.8 TSI MT,2010,13.458835614025542,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,5
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,12.611537753638338,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,5
Mahindra XUV500 W11 Option AWD,2019,14.346138809026444,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,7
Tata Indigo CS LS (TDI) BS-III,2016,12.834681304952548,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5
Hyundai Verna 1.6 SX,2013,13.165422866864775,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,13.02143524642254,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5
Toyota Corolla Altis G,2009,12.611537753638338,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5
Maruti Celerio VXI,2020,13.071070083016778,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,13.567049198665774,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Maruti Swift Dzire VXI,2017,13.296316684527767,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5
Maruti Wagon R VXI BS IV,2017,12.994530005894443,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
Nissan Terrano XL 85 PS,2014,12.89921982609012,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5
Hyundai Creta 1.6 CRDi SX,2016,13.946538820370678,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017,13.652991628466498,76139,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5
Maruti Swift Dzire VDi,2012,12.821258284620408,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5
Renault KWID 1.0,2018,12.765688433465597,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5
Maruti Celerio VXI,2015,12.793859310432293,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5
Maruti Alto LXi,2008,11.56171562913966,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
Maruti Ertiga VDI,2013,13.345506928718539,90000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7
Hyundai Santro Xing GLS,2009,11.813030057420567,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5
Maruti Ertiga VDI,2015,13.458835614025542,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7
Honda Amaze S i-VTEC,2019,13.444446876573442,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5
Audi Q5 35TDI Premium Plus,2018,15.19553530607057,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,5
Lexus ES 300h,2019,15.454507272639919,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5
Jaguar XF 2.0 Diesel Portfolio,2017,14.978661367769956,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5
Jeep Wrangler 2016-2019 3.6 4X4,2017,15.226497531674536,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,5
Land Rover Discovery Sport TD4 SE,2019,15.319587954740548,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7
Mercedes-Benz S-Class S 350 CDI,2017,15.60727002719233,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5
BMW 5 Series 520d Sport Line,2018,15.147876577058609,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,5
BMW X4 M Sport X xDrive20d,2019,15.573368475516649,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5
Skoda Superb LK 1.8 TSI AT,2018,14.43877107486688,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5
Mercedes-Benz E-Class E250 Edition E,2016,14.808762330974558,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,5
MG Hector Sharp AT BSIV,2019,14.375126345899696,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5
Honda City i-VTEC CVT VX,2017,13.58609739363647,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497,117.6,5
Toyota Corolla Altis 1.8 G CVT,2013,13.345506928718539,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5
Volvo XC40 D4 R-Design,2018,15.03928598958639,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,5
Audi Q7 35 TDI Quattro Premium,2015,14.790070197962406,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,7
Maruti Ciaz ZDi,2015,13.190022025878143,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5
Mercedes-Benz S-Class S 350 CDI,2017,15.58195221920804,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,5
BMW 5 Series 523i,2010,13.790192749979985,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,5
Hyundai Elantra S,2016,13.5985975564007,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5
Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,14.780591454007862,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5
Tata Nexon 1.2 Revotron XZ Plus Dual Tone,2018,13.60602333309755,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,5
Volkswagen Vento Petrol Highline,2011,12.834681304952548,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5
Hyundai Elantra SX,2012,13.217673557208654,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5
Skoda Rapid 1.6 MPI AT Elegance,2016,13.37700559577791,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
Mercedes-Benz CLA 200 CGI Sport,2018,14.75160391713461,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,5
Maruti Ertiga ZXI,2014,13.303016877097587,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,7
Mercedes-Benz New C-Class C 200 AVANTGARDE,2017,14.808762330974558,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5
Honda City V AT,2017,13.681979165339751,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5
Toyota Glanza V CVT,2019,13.704577879937933,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5
Maruti Alto K10 VXI,2011,12.072541252905651,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5
Maruti Swift VXI,2012,12.736700896592344,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,14.237504968023648,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7
Tata Nexon 1.5 Revotorq XZA Plus DualTone,2018,13.840203170554645,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5
BMW 3 Series 320d Luxury Line,2016,14.580978400103845,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5
Toyota Camry 2.5 Hybrid,2016,14.457364444136669,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5
BMW 5 Series 520d Luxury Line,2016,14.880221294956703,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,5
Toyota Camry W4 (AT),2009,13.017002861746503,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5
Maruti Ertiga BSIV ZXI Plus,2016,13.652991628466498,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7
Volkswagen Vento Diesel Highline,2011,12.611537753638338,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5
Ford Figo Aspire 1.2 Ti-VCT Trend,2018,13.262125319779487,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5
Ford Figo Diesel LXI,2011,11.982929094215963,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5
Maruti Swift VXI Optional,2015,13.151922179645874,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
Maruti Wagon R AMT VXI,2015,12.873902018105829,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5
Hyundai i20 Magna 1.2,2016,13.217673557208654,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5
Maruti 800 Std,1999,10.596634733096073,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4
Maruti Ritz VDi,2010,12.301382825334498,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5
Hyundai Grand i10 Magna,2015,12.959844447906553,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5
Volkswagen Ameo 1.0 MPI Trendline,2019,13.081541382884074,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,5
Hyundai Grand i10 Sportz,2014,12.89921982609012,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5
Maruti Swift Dzire VXI,2014,13.096019402064726,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5
Hyundai Xcent 1.2 Kappa S,2016,12.863592648446968,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,5
Honda City 1.5 EXI,2005,11.512925464970229,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,5
Toyota Corolla Altis Diesel D4DG,2010,12.611537753638338,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5
Daewoo Matiz SD,2000,11.512925464970229,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5
Toyota Fortuner 4x2 Manual,2014,14.375126345899696,30000,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,7
Mahindra KUV 100 mFALCON G80 K8,2016,13.017002861746503,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,6
Tata Zest Quadrajet 1.3 75PS XM,2017,13.102160670086809,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5
Honda City 1.5 S MT,2009,12.751299696013497,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,5
Maruti Zen LXI,2005,11.350406535472453,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5
Maruti Wagon R VXI BS IV with ABS,2010,12.2783933071098,120600,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5
Hyundai Verna Transform SX VTVT,2010,12.676076274775909,100000,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2,5
Maruti Swift Dzire VXI,2016,13.038979594549872,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5
Hyundai Getz GLS,2005,11.082142548877775,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,5
Hyundai Elite i20 Sportz Plus BSIV,2020,13.487006490992238,5000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5
Maruti Ciaz 1.3 Alpha,2017,13.592367006650065,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5
Tata Tigor 1.2 Revotron XZ,2019,13.16158409055761,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5
Maruti Ertiga VDI,2015,13.270783382522602,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7
Honda City i VTEC S,2015,13.304684934198283,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5
Honda Brio S MT,2014,12.577636201962656,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5
Maruti Wagon R LXI CNG,2016,12.793859310432293,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5
Maruti Swift Dzire VXI,2017,13.217673557208654,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5
Hyundai i20 Sportz 1.2,2013,12.834681304952548,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
Maruti Wagon R AMT VXI,2018,12.948009990259552,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5
Maruti Swift Dzire VXI 1.2,2017,13.217673557208654,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
Maruti Alto 800 LXI,2018,12.506177237980511,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
Maruti Swift Dzire AMT VXI BS IV,2018,13.458835614025542,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,5
Maruti Swift VXI Optional,2017,13.122363377404328,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
Tata Hexa XE,2019,14.038654109278484,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7
Hyundai i20 Magna,2013,12.676076274775909,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5
Maruti Swift Dzire VDI,2018,13.458835614025542,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5
Maruti Wagon R VXI BS IV,2015,12.577636201962656,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
Toyota Corolla Altis 1.8 VL AT,2012,13.217673557208654,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,5
Honda Brio S MT,2012,12.487485104968359,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5
Maruti Baleno Alpha Automatic,2018,13.62918097977278,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5
Tata Safari Storme EX,2017,13.592367006650065,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
Maruti Alto LXi,2011,11.982929094215963,25000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5
Renault KWID RXT,2018,12.721885810807203,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
Datsun GO T BSIV,2017,12.70381302974751,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5
Maruti Vitara Brezza VDi Option,2017,13.560618308335483,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
Hyundai Xcent 1.2 VTVT SX,2020,13.169246963303179,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5
Maruti Alto 800 LXI,2015,12.409013489526863,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5
Hyundai i20 1.2 Sportz,2012,12.524526376648708,93000,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,5
Tata Zest Revotron 1.2 XT,2018,13.16158409055761,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5
Nissan Sunny XL,2014,13.217673557208654,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5
